ticker,company,award_id,award_date,transaction_amount,r_m20,r_m19,r_m18,r_m17,r_m16,r_m15,r_m14,r_m13,r_m12,r_m11,r_m10,r_m09,r_m08,r_m07,r_m06,r_m05,r_m04,r_m03,r_m02,r_m01,r_p00,r_p01,r_p02,r_p03,r_p04,r_p05,r_p06,r_p07,r_p08,r_p09,r_p10,r_p11,r_p12,r_p13,r_p14,r_p15,r_p16,r_p17,r_p18,r_p19,r_p20,r_p21,r_p22,r_p23,r_p24,r_p25,r_p26,r_p27,r_p28,r_p29,r_p30,r_p31,r_p32,r_p33,r_p34,r_p35,r_p36,r_p37,r_p38,r_p39,r_p40,r_p41,r_p42,r_p43,r_p44,r_p45,r_p46,r_p47,r_p48,r_p49,r_p50,r_p51,r_p52,r_p53,r_p54,r_p55,r_p56,r_p57,r_p58,r_p59,r_p60,r_p61,r_p62,r_p63,r_p64,r_p65,r_p66,r_p67,r_p68,r_p69,r_p70,r_p71,r_p72,r_p73,r_p74,r_p75,r_p76,r_p77,r_p78,r_p79,r_p80,r_p81,r_p82,r_p83,r_p84,r_p85,r_p86,r_p87,r_p88,r_p89,r_p90
NOC,NORTHROP GRUMMAN SYSTEMS CORPORATION,HQ085223C0002,2026-02-24,59622.48,-9.463702865549505,-7.029654578320299,-5.606483157696285,-4.754499286573655,-5.177745006647361,-6.1694489086826065,-3.435439759236092,-5.521552652953677,-4.5969793988348995,-2.8697277927621556,-4.388772460209777,-6.172186700196325,-7.017321880547711,-4.794218323457344,-3.7655416000260122,-3.9641536323922644,-0.716475827154206,0.9327023889210695,-0.8904393119230747,-0.3215430833193311,0.0,-3.3089116714326683,-2.3126672474715892,-0.4603280531303433,5.536404118918892,4.312038482060565,3.587879990720144,1.6874399054762845,3.902549111346576,2.694686039335581,0.9962528479349642,0.748908126624448,1.177637853699487,0.8217418048633629,1.1309184945145656,-0.508420520059083,-0.3971145530719644,-1.8660702717792965,-2.8554491570213614,-6.558746013986161,-6.261935718003098,-5.018338148757606,-4.911159928975795,-6.696157876053355,-7.714388871863099,-6.250942432078766,-4.222719086922099,-3.4669454215786155,-4.38899148353088,-5.1159046143327895,-5.532276371713573,-5.106284436152264,-7.420333215341534,-6.378734115965434,-6.540887189342792,-6.752497413418812,-7.552244222459626,-8.584223143655201,-9.722015600862676,-16.022423607613987,-18.978193869672022,-19.247525162831202,-20.972064249311885,-20.948696145745526,-20.599665635628426,-21.34308133127766,-20.371569694652848,-21.929827960550863,-22.086488602953004,-23.24076677706004,-23.10334649101895,-24.110584200904363,-24.488475245563045,-24.66848714358377,-23.28198528129586,-24.175170808706547,-24.60801985901301,-25.701839172523155,-24.422515530017066,-23.551308150481155,-24.12433212629019,-24.205404450991928,-23.655748578749247,-23.488103074396662,-24.23837588479104,-23.145946526972473,-22.542697332851937,-25.577728765225704,-25.940709376101957,-27.394047047220248,-24.756517670717304,-24.86278610131918,-25.358275821459596,-24.273453312062244,-25.174709006457984,-23.74207746315733,-24.044338070246173,-24.81724609847862,-23.922881214723557,-24.069180369242993,-28.02341056039476,-29.979132974281097,-29.166206858091925,-30.57536921013957,-31.083280079778397,-30.98666552325261,-31.540120607718958,-29.705855049355222,-28.237337377290082,-24.226523353530094,-24.400427870481735
IBM,INTERNATIONAL BUSINESS MACHINES CORPORATION,28321326FA0010005,2025-12-31,798070.51,1.8804234290452637,2.1640102131610606,3.976900964968788,3.960028308218133,4.3786489091327985,4.817537723265719,5.556875465706357,4.905296563486594,4.398906609792319,4.203099691014867,2.353068069238229,2.4003220206987974,1.4314215334206848,1.6103452828887477,2.2213982712307345,2.5556240507159433,2.818942621613485,2.997866371081548,3.2173160344273644,1.971577825733739,0.0,-1.5900875822292382,-0.41862060091467646,2.1133712177916264,0.17555973067666653,2.197766039221105,2.7041665054740927,5.391449841638818,2.34629798142052,4.3280099137633865,0.5874207563323353,3.1936838024177128,-1.6407160650399377,0.44900189562457893,-0.5198985916535337,-1.272744972053419,0.04051540131904119,-0.7933617817189154,-0.6920732784213346,4.398906609792319,3.5414077073034456,6.252323275477822,-0.6414342830519004,-2.4172157025669105,-2.1336184058924124,0.9182614919087007,0.04387942011043755,-0.9407163173413502,-7.37468609499653,-11.886960138059333,-10.915915088801686,-12.297775164122072,-11.455756004353034,-12.987010051688152,-12.688222107658698,-24.167505218434147,-22.14054723334684,-19.349673143524182,-17.832006578338742,-18.443138410871164,-18.728344129030305,-16.721764739027833,-15.098846435906188,-12.895340539622257,-12.114430883710913,-13.988604596595277,-15.051308645360095,-15.502875605313127,-15.906910030999432,-16.382240629946153,-15.373854972103873,-13.04473451163698,-14.575972790134006,-14.993589441690624,-17.913484164722547,-15.648868764580914,-18.314128290220633,-18.0425047979318,-17.947444985677684,-19.7570978693987,-19.44813376852523,-17.70298594512949,-17.44834023517855,-15.743933833114387,-16.226055544996278,-16.793055656008892,-17.923670834125282,-19.47190266379828,-21.651644921088533,-19.25460281871134,-18.422770328345052,-16.884730424354156,-14.779690409350632,-13.94107206232854,-13.859583963386024,-13.190727670904767,-14.487704090815058,-21.54299237040538,-21.237423825999493,-22.571746110773773,-20.877526378112343,-22.89429243751756,-21.57694793508117,-21.16272683999213,-22.08623409870367,-22.23901311462726,-23.356046066873326,-21.464905084209796,-21.41702037922584,-23.540972487372315,-25.021929197496494
LDOS,"LEIDOS, INC.",N6883625F7M57,2025-12-16,142841.72,3.404759326495932,3.5800328569399964,3.6183757851346643,1.6903922313014075,2.145004527414973,2.32027805785906,4.889094133574123,4.264694295204308,4.6700085407819225,3.202106417215722,2.4626862212791423,3.2130615395570494,5.393004480223684,2.3257556190297235,1.6684819866187306,1.3015022422185885,3.1418616713555947,4.357804408088417,3.9196163684696472,2.0805799810307946,0.0,-0.4391740006294942,-0.5325032159604337,1.383387568211436,2.1299960098073667,2.283704803273401,2.4538884153373353,2.0311808062885683,1.8280644110631572,0.653270799247796,-0.9661828013848961,0.7191447925879224,7.317743632440488,8.421168835710668,7.93257880630458,7.16952082716229,8.882295216108748,7.378131637592755,7.575753617613135,4.754068037208659,6.148436008812985,6.88405561999883,4.808953200138699,5.467718414591549,6.197843610572362,4.979128385185483,4.029420402398487,2.7393451954836223,3.0797124196115133,2.7613060022694036,3.3596832115699637,3.2279267978725157,4.188623611069553,3.4475180116958493,2.151948389575953,5.945319613587552,6.818181626658704,6.895036023391721,-5.028544413962055,-5.884931608435274,-3.21695482149682,-11.325211655070389,-5.83553243369307,-3.2334212130775475,-4.754068037208647,-5.5775224485204,-4.408214824892898,-6.735841241737839,-3.45849841508874,-3.875711608932475,-1.5151608359432522,-0.8289488265167844,-2.9973720346906596,-3.568294022000418,-2.3440928084256685,-1.438298012193051,-5.297543229544788,-4.825436445753817,-4.583884425144702,-4.556437630171084,-7.847406943609347,-7.005404667472003,-8.232631180216398,-8.672900693080033,-8.716923430857804,-10.549521577166832,-12.50318225236473,-12.563721943826344,-13.279150421835418,-14.407325774579816,-15.144765621477774,-14.412828616802042,-14.143172493878831,-12.596738997159672,-12.239028971663735,-12.569233213065756,-11.59514586956073,-14.352288925340417,-15.865696941709063,-13.27364757961319,-14.055118591306105,-12.475676468270802,-13.890016470605094,-14.605444948614155,-14.798052853409082,-15.689597563580794,-17.059906401120116,-18.771433591523092,-19.618947136899845,-20.62054026449879,-19.569413129882662
NOC,NORTHROP GRUMMAN SYSTEMS CORPORATION,N0003025C1010,2025-09-03,4933979.0,1.1411855806074955,1.0280192858832748,0.7005618566244154,-0.37435852417038173,-0.5235110204288129,-0.4275088472278421,-0.20634143614489675,0.0730883366659052,0.11425034450465166,0.26168111464124344,0.5034029597959844,1.5851996171391214,2.3858341476105993,1.5680461235549004,0.5908496420828913,1.667491748999539,0.5685522260111986,0.7897302650331728,1.1566067201308705,1.4302655220518101,0.0,-0.21514136965651298,-0.03614562061956539,0.15318048514840754,-1.6144370773932937,-0.19621301025531945,0.33389796030720564,-0.8691741092352379,-1.1135741950239586,-0.28398915865196495,-0.6764045512235861,-1.2495480468930231,-1.3734698159092118,-0.8364719408593402,-0.6764045512235861,0.9053197298547921,0.8192546796409683,2.3252655231146058,2.234024666596235,4.872559320373049,4.201309319575963,4.130739804458683,4.910405411236418,6.455994699634249,6.991270848562281,9.800171364888822,9.294164560032026,7.311394999894794,6.517944956203325,7.903477482904431,4.80542262956043,3.0928790470394762,2.321822070870927,3.6126702888099826,3.156561657669399,2.6625963077264503,4.256383299596722,4.228835681647314,2.571387335025155,2.416474495815879,0.6850131818327609,-0.414808460094529,0.41996301052102947,-0.9638477900582476,-0.6660848224315785,-1.808917733587756,-1.5576201153726599,-2.1342176912247823,-3.1032200317095193,-2.4560635686791232,-3.8622461809032504,-3.9603420580918924,-3.9603420580918924,-3.0946114011003334,-2.4526307443744733,-2.7555482624276206,-2.3510807870031347,-2.4629504731664698,-2.6591634834218003,-1.99480038711205,-2.392402213927236,-1.5077113137174192,-5.729511299731049,-5.4772040273087015,-4.379848067234892,-4.435155861914164,-5.131583450258381,-4.338377849164465,-4.844714120131,-4.027319329819168,-3.2185650539335975,-1.5388192912397458,-0.4967817537842367,-1.718558996008357,-2.5013917286151544,-3.3084136504398565,-1.7634726663224631,1.0360646357242098,0.2411373085084545,0.636868618055475,-0.22372874438765233,-0.1528722749167266,-0.7075975522581102,-1.461054661403427,1.2088749242493702,5.64323369073676,5.520523506769259,-0.28593407149329897,2.095404457910277,6.939321482614491,8.753829512128707
HII,HUNTINGTON INGALLS INCORPORATED,N0002419C4313,2026-01-27,522119.0,-16.949315976791944,-18.22654277364819,-19.113504817024896,-19.56526861125901,-17.275718299633336,-14.028238800404381,-13.053765883616208,-15.69101084294191,-10.48274674481221,-8.467567818745303,-5.80430375479386,-2.6325109075897135,-1.7502756439801148,-0.9295466930939744,0.7355887393271088,-1.7053421483170461,-0.026019104625740752,0.3193121531907206,-0.995772513615667,-2.183117775208021,0.0,0.6149685916392533,1.1920793133283425,-0.5392746676455729,-0.5889494870135015,1.6201946647891319,-2.2824528700061353,-12.632755245743821,-5.917833732831069,-4.013814122948922,-5.539400472707068,-7.117010487778952,-3.7914809466416344,-0.9484683561001739,-1.1731649222910145,0.49669728989718553,4.813258020945299,3.4958245081931016,3.5998936547272153,5.898912069824869,3.0251390509527853,4.7801487466689,5.468207897445465,7.653405455751017,4.474071576826089,3.6911059602947605,-0.07188341230449646,1.8119855718319977,1.9234939425226472,-0.940265575212007,-1.8442367537814586,-1.6401925791884708,-1.3673410351240478,-1.1585482648573286,0.34807279008137737,1.54624601332487,-0.724353547419132,-3.2013824885462894,-5.908554700549773,-4.601243768468077,-4.487350191987249,-8.703514120781875,-9.415301705989354,-12.430921749688073,-9.863734938479872,-6.679659735850096,-5.896694119318758,-3.2773091155438805,-4.55378689960625,-2.401807695110192,-4.295166598625277,-6.421046706837997,-6.409186125606969,-5.552657271961603,-5.538426028878152,-6.003461166304547,-6.326140241083222,-6.94776995620966,-10.264711302108564,-12.952896403386005,-12.179420706233257,-14.753726774967612,-14.964890207086768,-14.253102621879288,-14.070408947895906,-13.567406860986274,-14.442908281419964,-13.785696822600467,-22.621371705670846,-24.18493227688109,-25.328543917674327,-24.95841524600271,-24.609637074940693,-20.858508283572462,-20.70191370587242,-20.054184894462644,-22.611881786292255,-21.85738592789669,-22.984381119816298,-23.62024934999506,-24.65709394380251,-23.92631924786899,-23.850392620871396,-24.654716009981215,-23.862260474071284,-26.56682204924955,-29.3690897981985,-30.02438145723566,-31.482702094923333,-29.817072168618918,-30.17211877684902
BAH,BOOZ ALLEN HAMILTON INC,FA807525F0024,2026-03-31,25000.0,1.4994226738029637,0.4101030557553953,2.2683634405587405,4.946820085730552,4.357298174474966,-0.6535937410570125,-2.6784467940294543,-1.1790241202264906,0.30757236624536777,-2.909130994284659,-1.1662077840377427,0.8073897753220427,3.5883672588615134,2.460588781105355,2.3965169513039397,1.0893294691899147,2.678466496314136,2.94758985399326,0.5895219112555861,1.1790339713688258,0.0,2.9988551987482737,6.535947261712449,7.27925535609073,7.753430241647541,4.575166038541423,1.9223420657471069,0.17941885550019077,4.844289396220525,4.344481838286218,5.472260316042377,5.972067873976705,4.793024051465511,3.4345810757388406,3.80623512292797,-0.845819081603616,1.2559319885013576,0.9099106136897239,-2.3580580915953275,-2.293986261793912,-2.024862904114788,-0.33320503862288575,0.35883771100038153,-0.24350053644395242,-2.2683535894164053,-2.2427209170388984,-1.5122390099917227,-1.2687384735477591,-3.9471951187195597,-3.332050386228813,-8.253237799581859,-5.9592416866455995,-6.869152300335324,-3.998450612332227,-1.320003818302773,-0.743308094378281,-2.153016414859976,0.8330125965571922,2.409343138635034,3.7806024505504743,3.8703168038717317,1.4737998525678142,7.714991084223621,2.94758985399326,0.602338247444334,2.537496649380211,1.8582702359456915,1.5378815335115759,1.1662274863224242,-0.20246067744138507,-0.3186746036663801,-0.04751205952218118,-3.74037038522006,-4.476359080837189,-8.195047101759446,-14.31537466800419,-18.227736147397522,-17.517572221433586,-19.067023921627467,-22.901916017632363,-19.66097884693758,-19.906311695857404,-21.662356627705726,-22.51455432397669,-19.364001384282524,-19.54476984628376,-18.253560917050727,-19.067023921627467,-18.44724422666415,-18.963729768585836,-16.329657445242173,-17.930758684742464,-17.440102838045146,-15.73570251993206,-15.800266906850657,-16.691204220387,-17.556311838698967,-14.612357056230419,-14.948064285008522,-6.348617938910506,-7.497793097836524,-5.4964153170683705,-9.395871799991863,-11.797521196456707,-9.976911877689798,-8.13048271484086,-4.979939626289031,-7.149161170303886,-4.540923467755786,-1.803556991370503,0.5851775574821527
CACI,"CACI, INC. - FEDERAL",47QFCA24F0005,2026-01-08,973236.0,0.8731488899740292,2.116109637773511,0.4143167660616509,-1.9928459849080427,-2.855733353424461,-4.090125417318413,-3.995963940888203,-6.014484628669292,-4.704761293708259,-5.8364336468809785,-6.76951107612116,-6.793482491827618,-7.211226731451492,-7.637529205366378,-7.717991237162258,-8.779473529611225,-7.991927881776406,-2.646856008805265,-4.220244017308328,-3.646706474821493,0.0,2.542412111688397,3.5491070752145415,3.5063054541449423,4.663662959805248,7.432068884694876,8.784604290340026,7.71285002681894,8.298373277158987,12.219005946980111,13.371222242297097,10.048108980283764,10.121726514569751,9.270824853906557,6.683897384367432,6.2473229393804175,4.841713941593562,5.949425328674329,3.5936224330652466,2.436264927404963,5.891210526189283,9.104759579971478,7.141015771498704,-1.927786684913091,-3.886389283042546,-1.8473246531172105,-3.3487984145008864,-2.9276371509293186,1.2172755953119285,0.3321409974846645,-2.242811213815732,0.33042726070355855,1.0169669345982735,2.2376595538578847,4.46505758625817,6.997208176488967,7.817283474321268,6.9270076661507085,4.867399094081115,5.463194315493292,8.409661671785763,1.3045925742322328,3.473775804147472,4.886229299444267,3.8743931255748043,3.6398410780825508,4.937589154804867,4.218519830912704,4.937589154804867,3.8161887727042654,0.888562071389476,-1.2635046899437397,-0.8817175738795591,-0.727627558183197,-3.4960439326873427,-4.384606004076808,-6.885930231476722,-3.9274771673310394,-1.4484106188564772,-2.081876700609453,-2.5646802402282787,-0.9656070792376514,-3.574792227702117,-8.491847889977267,-7.57588692931912,-8.647641192840217,-8.972937692814986,-9.243446863866911,-9.746794345629983,-10.618229498822906,-11.249981843794776,-12.29947842839052,-9.861499764204451,-11.565006372697418,-14.071466585633384,-12.903837108900973,-13.878002422429637,-11.051386919862216,-12.121427446602207,-12.071770878408184,-15.417147044154111,-14.496055322767177,-16.129366645729128,-17.651394798871568,-17.38088562781963,-14.537148431862922,-13.734189602612656,-13.681116010470928,-16.62929187873724,-15.266484502019962,-15.540415921826856
NOC,NORTHROP GRUMMAN SYSTEMS CORPORATION,FA229124FB007,2026-01-30,98393.0,-17.630652233068655,-15.398840660515589,-11.692131215787304,-11.794705459737564,-16.648361259628775,-14.657784835198473,-10.608722968430751,-9.091963859680641,-9.643773491976049,-5.651053722482924,-5.43870034008701,-3.6633557022653362,-5.05012465533553,-4.0591718173666695,-3.1519858723656924,-2.789413549128361,-4.519983010307971,-1.9530239102108493,-0.45214044444871204,0.4463658680960547,0.0,-1.0458468491734818,1.837461311448929,-0.36258120720095155,0.6124871038163171,2.434055004350033,0.8320631486348429,-1.048734137349805,-1.9400177874719593,0.4044779796303244,1.4893254290932134,1.2798682188372545,4.704884945119758,6.444116270828348,4.521422212414317,5.121382927527196,5.460483818881934,1.9708895610495825,3.0215337505775652,4.975019626896637,11.299202388862284,10.007980464519362,9.24427941593624,7.240066107350085,9.576130992977493,8.302312753365083,6.511136892373526,6.250285952578993,6.7024263970277165,6.327096702032842,6.653155934794186,4.924301078593141,5.041684889897047,3.4925170818631557,2.4491133226850037,-1.4564014599195096,-1.1433838857515144,0.16812012753462113,0.2811507966649973,-1.6013166744801133,-2.675148009054895,-1.1317903132281204,1.007183839501602,1.8042264035485367,0.831832165580737,0.06522606089405247,-0.3738816089248975,0.07537154734749141,-2.3650354909904636,-1.2665600413353073,-1.4375674570462627,-1.6607326231670494,-2.50414947730756,-3.5924794405092886,-4.792400870735047,-11.436841637218553,-14.554011256159583,-14.838049341000904,-16.656756605249157,-16.632112490168783,-16.264023225523772,-17.048033014940966,-16.023472142599694,-17.666818848963473,-17.83203392039453,-19.049341267423557,-18.904417168899336,-19.96665493095072,-20.365180654956006,-20.555022073540208,-19.09281050141357,-20.034768280021108,-20.491252982679732,-21.644800122811915,-20.29561921981564,-19.37683970229127,-19.98115355957768,-20.06665282545135,-19.486983083245313,-19.31018332325448,-20.10142465905791,-18.949343372922943,-18.31315385416992,-21.513912686806435,-21.89671379520527,-23.429410734688695,-20.64785949336354,-20.759930694423012,-21.282476550555927,-20.138417483569327,-21.088886099324313
LMT,LOCKHEED MARTIN CORPORATION,HQ085224F0005,2026-01-29,25890.0,-21.607685192892244,-22.30325324633644,-20.150679377170878,-17.821399683940477,-16.139502310921095,-20.182808159768296,-16.71781047679074,-12.7853407431754,-11.448809181420927,-10.314693414427968,-8.001470671833333,-7.167749349264419,-6.438455250910568,-7.461724981787732,-5.828013342001537,-4.594311742149881,-5.090683327666856,-6.562148831711745,-4.427234135936153,-4.054556131220355,0.0,1.8810888805046444,2.1670385179310525,0.9236838980184681,-3.17263915453434,-2.141333507676335,0.1718793140343733,2.5348949730583437,1.1325085837967874,0.9943701959979734,2.396746664375593,4.830448621379091,4.348521842859743,4.385477135487625,7.068163516405712,5.742882237024394,6.12198897452485,6.734028145746129,4.014396393084074,3.0714362175955356,5.713962860377353,9.277970964945847,7.843976639493033,7.304607943036667,5.773716344269353,8.481849792460071,7.251322875465038,5.163294277128183,4.880687977585141,5.423290882201703,4.320336611623299,4.191146861126582,2.7587597188699187,3.719607248078738,2.9493200573387446,1.32153118525693,-0.48389111353688286,-1.4657312331351147,0.7999307919137166,1.3053799862238646,-0.5500931719814028,-3.338972694453546,-2.399117755634139,-0.25942119380575335,0.5722266640224127,3.0122978285070046,1.3651334701158646,1.4943232206125812,0.7466358034581733,-0.8924529554164451,0.07161886106863413,-1.2380271052438108,-1.3155488922489855,-1.8985099526803606,-4.3692564902670705,-6.131076504201937,-7.637741304419643,-10.305506675911612,-14.446027266358962,-17.084709566619082,-17.100865726094117,-17.27204065736967,-17.672521939290743,-16.354795413019797,-17.194518870364504,-16.325717302229904,-17.814633641102308,-16.953907672484235,-17.252660210618387,-18.205427179868707,-17.278494192364157,-15.8654874968588,-16.036662428134353,-15.960767666093211,-16.671301372941205,-14.685021360159134,-14.956317852025458,-15.608715179061539,-15.576432622763248,-13.888890266789433,-13.943792438441161,-14.22801584206429,-13.24778290566222,-14.339437289447844,-16.046146793168514,-16.545157333810067,-16.772712648442468,-15.631662183584572,-14.866077491825935,-15.46586437139742,-13.830674519906106
BAH,BOOZ ALLEN HAMILTON INC,HC102825F0274,2026-03-12,1830266.08,2.6921404869478582,0.2982627689012807,2.8660340611695867,-0.894838150081001,1.5302813967669415,3.6700775154232756,0.1296824986843914,-3.6960259775706827,-1.8285641030190813,-2.5936998170648318,3.449610289587035,2.2305808458082277,0.9077874594661139,2.7104031003378104,1.6080869085074,3.4885180297949736,6.198931098808225,5.6023756549793635,0.5316992414735155,-1.5173121500309583,0.0,1.5043329346195344,-1.7507486226031932,0.012969246735972106,2.010113619971965,4.824270694197619,3.6830367934838293,3.618200528479365,2.295417110812692,3.9035139879955327,4.1758482321002655,1.7896463941357021,2.3861918692891226,1.193090950306841,4.227725219044198,7.807018007315603,8.559194443300822,9.039026666505844,5.822842880815604,3.1383683052743416,1.3746504359351652,6.095177124920359,5.589406408243369,6.730640308957159,7.2364110256341485,6.043300137976426,4.668649702041283,5.0447379200338816,0.33718047778465987,2.464007349705022,2.11385762518439,-1.1931009189822817,-1.1282646539778063,-0.8559304098730514,0.8559104725222033,1.5562099215634673,0.946685230998634,-1.1023261605058399,-1.0763876670338846,-0.33719044646008944,-0.09078472715187136,-2.8011977961651113,-2.1787138275397244,-7.15861548256912,-4.837249909609032,-5.758016584486569,-2.8530648144336035,-0.1426617140957931,0.4409145143216442,-0.9856129085574428,2.0360421447684907,3.631179743890778,5.018799426561915,5.1095841537137865,2.6844745755412847,9.000128894973326,4.1758482321002655,1.8026156408716965,3.760862242575147,3.073532040269855,2.7493208092211896,2.373232591228591,0.9882147328449831,0.8706142687832097,1.145012028702208,-2.59190545548722,-3.3366751656270455,-7.099730516797065,-13.293079157363819,-17.252118667511084,-16.53348184001412,-18.101419908222393,-21.982065754778755,-18.702461255995285,-18.950721148933702,-20.727717293947233,-21.590082483811123,-18.401940582108843,-18.58486577627122,-17.278251550153957,-18.101419908222393,-17.474245677806632,-17.99689336198862,-15.331394160130618,-16.951597993624635,-16.455088176423228,-14.730352812357728,-14.79568751113376,-15.69725451713082,-13.933317336932161,-5.231271774702351
