Date,Close
2024-03-20,363.0180358886719
2024-03-21,329.2296447753906
2024-03-22,322.04449462890625
2024-03-25,318.5329895019531
2024-03-26,320.9853210449219
2024-03-27,325.326904296875
2024-03-28,330.7372741699219
2024-04-01,323.6380310058594
2024-04-02,321.0520935058594
2024-04-03,317.06353759765625
2024-04-04,315.33636474609375
2024-04-05,317.7505187988281
2024-04-08,316.6054992675781
2024-04-09,319.1341552734375
2024-04-10,310.74285888671875
2024-04-11,311.4996643066406
2024-04-12,302.121826171875
2024-04-15,300.08148193359375
2024-04-16,300.7232666015625
2024-04-17,301.29803466796875
2024-04-18,302.69659423828125
2024-04-19,303.5395202636719
2024-04-22,304.0567932128906
2024-04-23,303.4915771484375
2024-04-24,300.3401184082031
2024-04-25,295.9912414550781
2024-04-26,295.0429382324219
2024-04-29,290.3970947265625
2024-04-30,288.2418518066406
2024-05-01,286.0865783691406
2024-05-02,287.69580078125
2024-05-03,290.9239807128906
2024-05-06,293.1750183105469
2024-05-07,297.5813903808594
2024-05-08,298.8553466796875
2024-05-09,293.7018737792969
2024-05-10,293.43365478515625
2024-05-13,294.4682312011719
2024-05-14,294.0275573730469
2024-05-15,295.5314636230469
2024-05-16,295.0333557128906
2024-05-17,290.8089904785156
2024-05-20,292.8301696777344
2024-05-21,290.8569641113281
2024-05-22,294.1808166503906
2024-05-23,293.05047607421875
2024-05-24,288.3184814453125
2024-05-28,285.1957092285156
2024-05-29,281.4024353027344
2024-05-30,272.81005859375
2024-05-31,270.4057922363281
2024-06-03,269.8980407714844
2024-06-04,275.9328308105469
2024-06-05,278.7681884765625
2024-06-06,279.4578857421875
2024-06-07,276.258544921875
2024-06-10,278.2030029296875
2024-06-11,281.83349609375
2024-06-12,273.7008972167969
2024-06-13,270.43450927734375
2024-06-14,274.6396179199219
2024-06-17,273.5093078613281
2024-06-18,273.33697509765625
2024-06-20,293.2708435058594
2024-06-21,295.97210693359375
2024-06-24,294.2765808105469
2024-06-25,294.2383117675781
2024-06-26,291.7956848144531
2024-06-27,290.4258117675781
2024-06-28,290.6365661621094
2024-07-01,289.8127746582031
2024-07-02,291.0389404296875
2024-07-03,292.8780517578125
2024-07-05,286.5463562011719
2024-07-08,286.8624572753906
2024-07-09,285.5118408203125
2024-07-10,283.0021057128906
2024-07-11,286.6966247558594
2024-07-12,298.8575439453125
2024-07-15,305.82318115234375
2024-07-16,312.68292236328125
2024-07-17,313.2602233886719
2024-07-18,315.66546630859375
2024-07-19,316.7142028808594
2024-07-22,318.94622802734375
2024-07-23,317.8109436035156
2024-07-24,316.2234802246094
2024-07-25,317.6089172363281
2024-07-26,316.0118103027344
2024-07-29,313.8374938964844
2024-07-30,316.72381591796875
2024-07-31,318.0899963378906
2024-08-01,315.6462097167969
2024-08-02,310.9030456542969
2024-08-05,301.8497009277344
2024-08-06,306.60247802734375
2024-08-07,305.9674987792969
2024-08-08,303.9085693359375
2024-08-09,303.8604736328125
2024-08-12,302.0613708496094
2024-08-13,307.22784423828125
2024-08-14,307.7088928222656
2024-08-15,312.8080139160156
2024-08-16,314.53021240234375
2024-08-19,316.9547424316406
2024-08-20,317.8494567871094
2024-08-21,320.95709228515625
2024-08-22,318.0418395996094
2024-08-23,320.6395263671875
2024-08-26,324.01654052734375
2024-08-27,327.4801025390625
2024-08-28,324.6033935546875
2024-08-29,327.3164978027344
2024-08-30,328.9906311035156
