Date,Close,Volume
2024-06-10,443.4866638183594,900400
2024-06-11,439.0656433105469,908300
2024-06-12,435.56488037109375,1026400
2024-06-13,435.0430603027344,742000
2024-06-14,434.8343505859375,702800
2024-06-17,435.4700012207031,669700
2024-06-18,436.40924072265625,657900
2024-06-20,442.4241027832031,1041400
2024-06-21,443.61944580078125,3363500
2024-06-24,447.3289794921875,1031500
2024-06-25,444.0653991699219,711200
2024-06-26,443.040771484375,932100
2024-06-27,443.173583984375,871000
2024-06-28,443.1451416015625,3472500
2024-07-01,442.5189208984375,562500
2024-07-02,441.8169250488281,502500
2024-07-03,442.1300048828125,313300
2024-07-05,438.4584655761719,631400
2024-07-08,438.0790100097656,447700
2024-07-09,436.69384765625,537100
2024-07-10,437.367431640625,656000
2024-07-11,436.7698059082031,1132900
2024-07-12,439.94793701171875,579400
2024-07-15,440.0902404785156,783000
2024-07-16,444.5492248535156,736400
2024-07-17,451.65509033203125,1123100
2024-07-18,451.58868408203125,981100
2024-07-19,450.5640869140625,889400
2024-07-22,450.25103759765625,881600
2024-07-23,475.5816955566406,2579100
2024-07-24,488.77838134765625,2580100
2024-07-25,494.6604309082031,1923900
2024-07-26,497.885986328125,1141300
2024-07-29,500.5802917480469,961200
2024-07-30,510.08642578125,1234200
2024-07-31,514.1281127929688,1481500
2024-08-01,520.7120361328125,1271700
2024-08-02,520.6267700195312,1484800
2024-08-05,517.4105834960938,1683800
2024-08-06,513.7864990234375,1033700
2024-08-07,520.3800659179688,1306600
2024-08-08,523.3306274414062,846300
2024-08-09,523.292724609375,825100
2024-08-12,528.3493041992188,793700
2024-08-13,530.73046875,793600
2024-08-14,534.3355102539062,796700
2024-08-15,531.555908203125,974600
2024-08-16,531.4041137695312,912000
2024-08-19,529.7534790039062,709700
2024-08-20,528.444091796875,972200
2024-08-21,525.36083984375,883100
2024-08-22,528.4631958007812,774500
2024-08-23,526.5467529296875,870400
2024-08-26,529.4782104492188,795400
2024-08-27,531.669677734375,749600
2024-08-28,535.0567016601562,829300
2024-08-29,537.7794799804688,662300
2024-08-30,538.96533203125,1082800
2024-09-03,541.1309204101562,1266900
2024-09-04,548.3433227539062,941700
2024-09-05,542.4380493164062,841000
2024-09-06,540.568115234375,976700
2024-09-09,550.0509643554688,810200
2024-09-10,545.8723754882812,756400
2024-09-11,540.8829956054688,809200
2024-09-12,542.1326904296875,739400
2024-09-13,543.6972045898438,638800
2024-09-16,546.56884765625,597700
2024-09-17,540.9306640625,739900
2024-09-18,539.48046875,731700
2024-09-19,539.184814453125,917500
2024-09-20,545.6148071289062,3794400
2024-09-23,553.8096923828125,884500
2024-09-24,552.0161743164062,690100
2024-09-25,551.35791015625,844500
2024-09-26,550.8427734375,746200
2024-09-27,555.5746459960938,848100
2024-09-30,557.6734008789062,974900
2024-10-01,577.9937744140625,2356200
2024-10-02,575.4561157226562,1192500
2024-10-03,577.9556274414062,856600
2024-10-04,577.29736328125,559800
2024-10-07,577.6884155273438,1102200
2024-10-08,580.0829467773438,571800
2024-10-09,577.2782592773438,543800
2024-10-10,570.0086669921875,853700
2024-10-11,576.3814697265625,526000
2024-10-14,582.7733154296875,562300
2024-10-15,577.1732177734375,849600
2024-10-16,584.6431884765625,549200
2024-10-17,581.580810546875,617500
2024-10-18,583.6701049804688,864100
2024-10-21,586.3411865234375,1017500
2024-10-22,550.4420776367188,2259200
2024-10-23,544.8323974609375,1402200
2024-10-24,538.2593994140625,1102800
2024-10-25,536.4277954101562,1077600
2024-10-28,529.6351928710938,1278700
2024-10-29,521.6502075195312,1041700
2024-10-30,520.8297119140625,1005200
2024-10-31,520.9347534179688,1245300
2024-11-01,520.2669067382812,792600
2024-11-04,518.1202392578125,827600
2024-11-05,521.6024780273438,610100
2024-11-06,526.4392700195312,1751300
2024-11-07,526.4583740234375,818200
2024-11-08,538.59326171875,1165700
2024-11-11,544.3364868164062,1171400
2024-11-12,539.9288940429688,1133500
2024-11-13,532.0774536132812,1118300
2024-11-14,514.1994018554688,1972700
2024-11-15,510.2307434082031,1757100
2024-11-18,506.53875732421875,1298400
2024-11-19,508.73297119140625,935700
2024-11-20,510.13531494140625,994300
2024-11-21,517.0805053710938,1321700
2024-11-22,517.28076171875,1311000
2024-11-25,497.8858947753906,3613500
2024-11-26,497.4661560058594,1345800
2024-11-27,501.56829833984375,890400
2024-11-29,505.0599670410156,658200
2024-12-02,499.5209045410156,1115600
2024-12-03,496.3144836425781,1188400
2024-12-04,496.79449462890625,1542800
2024-12-05,496.77532958984375,1113400
2024-12-06,492.5033874511719,1284700
2024-12-09,489.6042175292969,1170500
2024-12-10,492.4169921875,1178900
2024-12-11,484.0650329589844,1308000
2024-12-12,476.7115478515625,1862800
2024-12-13,474.8587341308594,990100
2024-12-16,471.9787902832031,1483700
2024-12-17,470.98040771484375,1354500
2024-12-18,463.6172790527344,1424400
2024-12-19,460.4685363769531,1250400
2024-12-20,469.4540100097656,3973500
2024-12-23,467.0251770019531,1053900
2024-12-24,468.5996398925781,375900
2024-12-26,470.3756408691406,662100
2024-12-27,469.406005859375,820600
2024-12-30,464.03009033203125,887600
2024-12-31,466.49725341796875,731900
2025-01-02,462.9549255371094,953700
2025-01-03,462.5421142578125,817200
2025-01-06,447.35504150390625,1698600
2025-01-07,445.39666748046875,1276600
2025-01-08,450.091064453125,998700
2025-01-10,449.3230285644531,1127400
2025-01-13,463.8284912109375,1435200
2025-01-14,465.07647705078125,1162000
2025-01-15,464.6060485839844,882200
2025-01-16,467.38043212890625,956400
2025-01-17,470.7020263671875,1337600
2025-01-21,486.0330505371094,1615900
2025-01-22,479.3611145019531,1324800
2025-01-23,477.383544921875,913000
2025-01-24,477.07635498046875,759400
2025-01-27,483.53704833984375,1948600
2025-01-28,439.14715576171875,4023900
2025-01-29,436.18072509765625,2396800
2025-01-30,441.2591247558594,1911800
2025-01-31,444.4270935058594,1473800
2025-02-03,437.1983947753906,1476300
2025-02-04,435.5279846191406,1234200
2025-02-05,431.8704528808594,1139700
2025-02-06,430.5744323730469,1291800
2025-02-07,426.6097106933594,1347400
2025-02-10,430.2864990234375,1427800
2025-02-11,431.3808288574219,906100
2025-02-12,424.2865295410156,1282800
2025-02-13,417.32659912109375,2400000
2025-02-14,406.2579040527344,3252800
2025-02-18,411.39385986328125,2812500
2025-02-19,415.62744140625,2802100
2025-02-20,418.833740234375,1358000
2025-02-21,423.0865173339844,1652400
2025-02-24,422.6545104980469,1946200
2025-02-25,430.5168151855469,1715500
2025-02-26,423.8352966308594,1466900
2025-02-27,428.5968322753906,1458100
2025-02-28,432.3504333496094,1433600
2025-03-03,437.06011962890625,1579400
2025-03-04,434.0428466796875,2268700
2025-03-05,445.2608947753906,2060100
2025-03-06,446.3053283691406,1395800
2025-03-07,458.0552978515625,2168700
2025-03-10,463.3935852050781,2284400
2025-03-11,453.44232177734375,1456900
2025-03-12,446.3053283691406,1271500
2025-03-13,452.52362060546875,1159200
2025-03-14,450.8215637207031,972400
2025-03-17,452.2141418457031,1051600
2025-03-18,453.8291931152344,881600
2025-03-19,455.057373046875,1122700
2025-03-20,451.3727722167969,922000
2025-03-21,425.22308349609375,7141700
2025-03-24,420.65850830078125,3015400
2025-03-25,427.51507568359375,1600200
2025-03-26,430.51300048828125,1349700
2025-03-27,427.7181396484375,1559300
2025-03-28,426.9541320800781,1595700
2025-03-31,432.00225830078125,1690000
2025-04-01,433.8687744140625,1042400
2025-04-02,437.95947265625,1270300
2025-04-03,439.80657958984375,1813800
2025-04-04,417.9216613769531,2392700
2025-04-07,416.6354675292969,1968100
2025-04-08,428.7625427246094,2151500
2025-04-09,447.0209655761719,2291600
2025-04-10,448.4328918457031,1832600
2025-04-11,459.2641296386719,1452300
