Date,Close,Volume
2024-06-10,320.27459716796875,2640500
2024-06-11,318.03985595703125,3247000
2024-06-12,319.4195861816406,4817300
2024-06-13,317.1166687011719,3183900
2024-06-14,312.3652038574219,4195300
2024-06-17,313.26885986328125,3198900
2024-06-18,315.93121337890625,3275300
2024-06-20,319.8082275390625,4463300
2024-06-21,318.5547790527344,8265100
2024-06-24,320.6535949707031,2447300
2024-06-25,318.12725830078125,2990400
2024-06-26,317.4762268066406,2198600
2024-06-27,318.1855163574219,1995100
2024-06-28,323.6658020019531,8891500
2024-07-01,319.7596130371094,2950200
2024-07-02,318.47705078125,2119800
2024-07-03,321.2463073730469,1352200
2024-07-05,319.0503845214844,2280900
2024-07-08,319.7402648925781,1913400
2024-07-09,316.8251953125,1896100
2024-07-10,319.1766662597656,2904400
2024-07-11,321.7516174316406,3016400
2024-07-12,326.08526611328125,2451300
2024-07-15,335.9769592285156,3394300
2024-07-16,350.36749267578125,4637000
2024-07-17,347.66619873046875,3061000
2024-07-18,345.9463806152344,3876300
2024-07-19,337.7842712402344,3462700
2024-07-22,339.39404296875,2659600
2024-07-23,335.7842102050781,2027800
2024-07-24,327.8523254394531,2835800
2024-07-25,335.9110412597656,3291300
2024-07-26,341.94049072265625,1894900
2024-07-29,336.13543701171875,2190300
2024-07-30,333.3939208984375,1970800
2024-07-31,337.7647705078125,2568100
2024-08-01,323.44244384765625,3747900
2024-08-02,313.05194091796875,4246700
2024-08-05,309.0810852050781,4681300
2024-08-06,318.4862060546875,5071700
2024-08-07,317.8617858886719,3011700
2024-08-08,327.96942138671875,2268300
2024-08-09,330.0182189941406,1668100
2024-08-12,327.84259033203125,2127600
2024-08-13,330.5450744628906,1503800
2024-08-14,329.36456298828125,1610900
2024-08-15,337.2184143066406,3232600
2024-08-16,335.1110534667969,2483800
2024-08-19,336.2525634765625,2252600
2024-08-20,334.9354248046875,1479500
2024-08-21,334.61346435546875,1433200
2024-08-22,334.018310546875,2021400
2024-08-23,339.9208984375,2183900
2024-08-26,342.6039123535156,1718100
2024-08-27,342.5649108886719,1210800
2024-08-28,339.7160339355469,1514500
2024-08-29,343.0722351074219,1664500
2024-08-30,347.42352294921875,2974100
2024-09-03,331.9499816894531,3107200
2024-09-04,328.5450134277344,2782500
2024-09-05,325.4327392578125,2525500
2024-09-06,321.3350830078125,2676600
2024-09-09,325.90106201171875,2355800
2024-09-10,326.0180969238281,1869200
2024-09-11,326.8376770019531,1934700
2024-09-12,331.3060302734375,1747000
2024-09-13,336.8964538574219,2518600
2024-09-16,339.4818420410156,1648200
2024-09-17,345.0722961425781,2088400
2024-09-18,346.4674072265625,1990700
2024-09-19,364.2142333984375,4066600
2024-09-20,359.8335876464844,5440500
2024-09-23,362.12640380859375,2442700
2024-09-24,376.5267028808594,4024300
2024-09-25,369.0338439941406,2661500
2024-09-26,381.4341735839844,3906800
2024-09-27,381.55120849609375,2683700
2024-09-30,381.5903015136719,2251300
2024-10-01,382.82928466796875,2091400
2024-10-02,384.44891357421875,1767900
2024-10-03,381.5610046386719,1866100
2024-10-04,387.4148254394531,1675100
2024-10-07,388.5465393066406,2224500
2024-10-08,378.50726318359375,2438800
2024-10-09,386.5367126464844,1757900
2024-10-10,386.97576904296875,1331700
2024-10-11,392.2247009277344,2110400
2024-10-14,384.351318359375,3006100
2024-10-15,378.5364990234375,2715100
2024-10-16,384.0293273925781,1551600
2024-10-17,384.8782043457031,1561500
2024-10-18,384.26348876953125,3024100
2024-10-21,382.33465576171875,2375900
2024-10-22,380.35675048828125,1523900
2024-10-23,377.6837158203125,1500900
2024-10-24,378.98590087890625,1844100
2024-10-25,377.9186706542969,1606800
2024-10-28,382.4618835449219,3213900
2024-10-29,379.426513671875,2186400
2024-10-30,371.3290710449219,4037500
2024-10-31,368.3525085449219,2394500
2024-11-01,371.7109375,1633300
2024-11-04,368.66583251953125,1793600
2024-11-05,375.3729553222656,1724100
2024-11-06,408.1839294433594,4720000
2024-11-07,399.69476318359375,3211100
2024-11-08,385.164306640625,3345900
2024-11-11,388.2682189941406,1858900
2024-11-12,384.8118591308594,1737100
2024-11-13,378.9957580566406,2001900
2024-11-14,379.2796936035156,1372500
2024-11-15,376.0583190917969,2165500
2024-11-18,376.440185546875,1626200
2024-11-19,374.3546142578125,1793200
2024-11-20,373.54193115234375,1859600
2024-11-21,381.4631652832031,1833500
2024-11-22,389.1983642578125,1893000
2024-11-25,397.18817138671875,4398000
2024-11-26,399.3226623535156,1796600
2024-11-27,395.27886962890625,1371900
2024-11-29,397.6385803222656,1962100
2024-12-02,394.1136169433594,1548500
2024-12-03,390.9314880371094,1716200
2024-12-04,391.1762390136719,1193800
2024-12-05,386.74078369140625,1291400
2024-12-06,386.7897033691406,1331000
2024-12-09,390.9314880371094,1739800
2024-12-10,380.2882080078125,2251000
2024-12-11,380.7581481933594,1651600
2024-12-12,372.83697509765625,1804600
2024-12-13,372.5726013183594,2034800
2024-12-16,371.0157470703125,1311100
2024-12-17,367.9608459472656,2138700
2024-12-18,356.2992858886719,2820700
2024-12-19,352.8527526855469,2616700
2024-12-20,358.4044494628906,5142000
2024-12-23,357.76800537109375,1804900
2024-12-24,359.90252685546875,886000
2024-12-26,359.4618835449219,1097900
2024-12-27,357.2490539550781,1245800
2024-12-30,355.4376525878906,1422200
2024-12-31,355.1928405761719,1168100
2025-01-02,352.26519775390625,1802600
2025-01-03,356.20135498046875,1390800
2025-01-06,356.6028747558594,1590700
2025-01-07,355.4278869628906,1607400
2025-01-08,353.5381164550781,1828800
2025-01-10,343.67816162109375,2773900
2025-01-13,354.93829345703125,2746000
2025-01-14,363.8190612792969,2331700
2025-01-15,367.0698547363281,1984500
2025-01-16,372.6117248535156,1974700
2025-01-17,377.9676513671875,2605900
2025-01-21,391.48016357421875,3144500
2025-01-22,390.7430419921875,1994800
2025-01-23,399.38128662109375,2587400
2025-01-24,400.590087890625,1938200
2025-01-27,388.1585388183594,2964400
2025-01-28,383.549560546875,1788900
2025-01-29,386.43878173828125,2675800
2025-01-30,368.5039367675781,4234600
2025-01-31,365.0251159667969,2858000
2025-02-03,355.30584716796875,3079300
2025-02-04,355.69903564453125,2709800
2025-02-05,352.6525573730469,2134200
2025-02-06,359.1385498046875,3007000
2025-02-07,357.59564208984375,1804800
2025-02-10,356.94708251953125,1944400
2025-02-11,355.9742126464844,1516900
2025-02-12,345.96014404296875,2833100
2025-02-13,347.5914611816406,3547200
2025-02-14,347.218017578125,2045300
2025-02-18,347.8862609863281,3120200
2025-02-19,346.903564453125,2211000
2025-02-20,343.12005615234375,2174100
2025-02-21,334.16741943359375,3225200
2025-02-24,333.06671142578125,2513300
2025-02-25,336.44732666015625,3323500
2025-02-26,336.6634826660156,2397800
2025-02-27,334.1280517578125,1971000
2025-02-28,338.0098876953125,3210300
2025-03-03,326.3055725097656,2569700
2025-03-04,321.1069030761719,3500200
2025-03-05,332.6441345214844,3189100
2025-03-06,335.12066650390625,2234100
2025-03-07,344.25018310546875,3063800
2025-03-10,339.24810791015625,2809100
2025-03-11,333.9020080566406,3190900
2025-03-12,332.2903747558594,1816700
2025-03-13,327.55364990234375,2490300
2025-03-14,333.7742919921875,1936100
2025-03-17,336.7225341796875,1683800
2025-03-18,330.89483642578125,3310000
2025-03-19,332.7718811035156,2407200
2025-03-20,330.4428405761719,2782900
2025-03-21,329.98095703125,6766100
2025-03-24,335.7692565917969,2277200
2025-03-25,336.70281982421875,1678000
2025-03-26,335.2189025878906,1703200
2025-03-27,333.4401550292969,1481100
2025-03-28,323.99615478515625,1965200
2025-03-31,324.1042175292969,2837500
2025-04-01,324.8609619140625,1955300
2025-04-02,328.88031005859375,1747600
2025-04-03,300.4794006347656,4638700
2025-04-04,283.104736328125,7216800
2025-04-07,275.2232360839844,7824700
2025-04-08,269.20892333984375,4989000
2025-04-09,295.81146240234375,6457300
2025-04-10,284.16607666015625,4116800
2025-04-11,288.3820495605469,3197900
2025-04-14,292.9713134765625,2758400
2025-04-15,288.3623352050781,3611300
2025-04-16,285.1291809082031,3017200
2025-04-17,289.1681823730469,2717600
2025-04-21,281.1697692871094,2978300
2025-04-22,287.5191345214844,2231200
2025-04-23,292.0614318847656,2458300
2025-04-24,303.01239013671875,2874400
2025-04-25,302.6075744628906,2162400
2025-04-28,303.20989990234375,2189600
2025-04-29,303.5456237792969,2651000
2025-04-30,305.39215087890625,5124800
2025-05-01,310.0233459472656,2961000
2025-05-02,319.62152099609375,3765200
2025-05-05,319.0586242675781,1829100
2025-05-06,316.86651611328125,1724200
2025-05-07,316.2740173339844,1555500
2025-05-08,320.18438720703125,2553400
2025-05-09,321.53717041015625,1646200
2025-05-12,338.2549133300781,4592000
2025-05-13,348.11962890625,4132500
2025-05-14,345.2757873535156,2052200
2025-05-15,345.42388916015625,1580400
2025-05-16,349.1465759277344,2561700
2025-05-19,348.1492919921875,2277700
2025-05-20,345.10784912109375,2266000
2025-05-21,338.21539306640625,2093400
2025-05-22,340.86181640625,2174100
2025-05-23,339.0843811035156,1936600
2025-05-27,347.1025390625,2240100
2025-05-28,345.10784912109375,1924400
2025-05-29,347.3790588378906,2290300
2025-05-30,343.66619873046875,4867100
2025-06-02,340.34832763671875,2552700
2025-06-03,345.0190124511719,2614300
2025-06-04,344.94989013671875,1616300
2025-06-05,344.5845031738281,1753300
2025-06-06,348.9195251464844,1608000
2025-06-09,353.580322265625,2147100
2025-06-10,354.07403564453125,1894300
2025-06-11,358.58673095703125,2551700
2025-06-12,356.4340515136719,1571800
2025-06-13,352.5730895996094,1609600
2025-06-16,357.8955078125,1579800
2025-06-17,353.1951904296875,1560100
2025-06-18,355.2886047363281,2000500
2025-06-20,355.9995422363281,6268300
2025-06-23,361.6380310058594,2927400
2025-06-24,368.3428649902344,3841800
2025-06-25,366.9208679199219,1737700
2025-06-26,377.0917663574219,2575100
2025-06-27,379.8862609863281,4455000
2025-06-30,383.3423767089844,2791400
2025-07-01,386.0184020996094,2393600
2025-07-02,393.4342346191406,2713700
2025-07-03,392.8713684082031,1737800
2025-07-07,386.60101318359375,3012900
2025-07-08,389.3461608886719,2003600
2025-07-09,397.13720703125,3101000
2025-07-10,403.2101135253906,3382800
2025-07-11,400.830322265625,2072600
2025-07-14,400.68218994140625,2497500
2025-07-15,399.56640625,2167000
2025-07-16,407.70306396484375,3242100
2025-07-17,412.8280029296875,2444700
2025-07-18,408.5226745605469,2526600
2025-07-21,406.41168212890625,1833300
2025-07-22,413.4681396484375,2185000
2025-07-23,423.77532958984375,3254900
2025-07-24,425.6881103515625,2511400
2025-07-25,429.8804016113281,2218400
2025-07-28,429.07763671875,2550300
2025-07-29,426.21337890625,2383700
2025-07-30,430.2471008300781,3172600
2025-07-31,434.1123046875,4116400
2025-08-01,424.86553955078125,4027300
2025-08-04,429.8308410644531,4059500
2025-08-05,430.35614013671875,4329900
2025-08-06,423.9042053222656,2630800
2025-08-07,413.39874267578125,4261100
2025-08-08,412.8040771484375,2965200
2025-08-11,404.8952941894531,3416000
