Date,Close
2024-03-20,368.70001220703125
2024-03-21,372.5799865722656
2024-03-22,370.20001220703125
2024-03-25,373.739990234375
2024-03-26,374.5899963378906
2024-03-27,378.8900146484375
2024-03-28,378.8299865722656
2024-04-01,374.9800109863281
2024-04-02,369.25
2024-04-03,369.79998779296875
2024-04-04,369.0799865722656
2024-04-05,374.5799865722656
2024-04-08,378.6400146484375
2024-04-09,372.79998779296875
2024-04-10,367.30999755859375
2024-04-11,367.7799987792969
2024-04-12,367.739990234375
2024-04-15,364.8399963378906
2024-04-16,365.9100036621094
2024-04-17,362.510009765625
2024-04-18,364.05999755859375
2024-04-19,369.3800048828125
2024-04-22,376.0799865722656
2024-04-23,382.42999267578125
2024-04-24,379.3800048828125
2024-04-25,401.8699951171875
2024-04-26,404.8699951171875
2024-04-29,405.010009765625
2024-04-30,402.2300109863281
2024-05-01,407.70001220703125
2024-05-02,410.9599914550781
2024-05-03,414.95001220703125
2024-05-06,423.75
2024-05-07,421.010009765625
2024-05-08,422.69000244140625
2024-05-09,428.5899963378906
2024-05-10,428.3299865722656
2024-05-13,425.25
2024-05-14,424.0
2024-05-15,424.42999267578125
2024-05-16,426.3599853515625
2024-05-17,426.8900146484375
2024-05-20,427.25
2024-05-21,426.8900146484375
2024-05-22,427.7200012207031
2024-05-23,425.7200012207031
2024-05-24,429.0199890136719
2024-05-28,423.1099853515625
2024-05-29,418.8699951171875
2024-05-30,423.3299865722656
2024-05-31,424.4800109863281
2024-06-03,419.8900146484375
2024-06-04,422.2300109863281
2024-06-05,423.95001220703125
2024-06-06,420.7900085449219
2024-06-07,417.5199890136719
2024-06-10,419.9599914550781
2024-06-11,422.57000732421875
2024-06-12,427.3500061035156
2024-06-13,425.4800109863281
2024-06-14,423.8699951171875
2024-06-17,430.30999755859375
2024-06-18,431.8699951171875
2024-06-20,430.67999267578125
2024-06-21,433.7699890136719
2024-06-24,433.8800048828125
2024-06-25,435.3599853515625
2024-06-26,437.1300048828125
2024-06-27,434.55999755859375
2024-06-28,430.1300048828125
2024-07-01,427.760009765625
2024-07-02,428.2699890136719
2024-07-03,426.95001220703125
2024-07-05,422.9700012207031
2024-07-08,427.30999755859375
2024-07-09,425.0799865722656
2024-07-10,429.0400085449219
2024-07-11,434.1099853515625
2024-07-12,439.2300109863281
2024-07-15,439.8299865722656
2024-07-16,443.1499938964844
2024-07-17,446.5299987792969
2024-07-18,446.3699951171875
2024-07-19,445.5
2024-07-22,452.239990234375
2024-07-23,459.32000732421875
2024-07-24,447.510009765625
2024-07-25,453.5799865722656
2024-07-26,449.0299987792969
2024-07-29,451.6199951171875
2024-07-30,452.6300048828125
2024-07-31,461.4800109863281
2024-08-01,463.9100036621094
2024-08-02,461.1199951171875
2024-08-05,443.42999267578125
2024-08-06,446.7300109863281
2024-08-07,447.0199890136719
2024-08-08,460.6600036621094
2024-08-09,462.3800048828125
2024-08-12,463.4800109863281
2024-08-13,461.2799987792969
2024-08-14,461.8599853515625
2024-08-15,464.0
2024-08-16,465.2900085449219
2024-08-19,466.6199951171875
2024-08-20,466.42999267578125
2024-08-21,471.7300109863281
2024-08-22,468.57000732421875
2024-08-23,475.0
2024-08-26,471.0199890136719
2024-08-27,476.6099853515625
2024-08-28,478.6700134277344
2024-08-29,480.6600036621094
2024-08-30,488.1199951171875
2024-09-03,478.3500061035156
2024-09-04,478.29998779296875
2024-09-05,479.1700134277344
2024-09-06,466.7300109863281
2024-09-09,470.0799865722656
2024-09-10,470.30999755859375
2024-09-11,469.2799987792969
2024-09-12,471.5799865722656
2024-09-13,476.239990234375
2024-09-16,490.3699951171875
2024-09-17,485.0
2024-09-18,483.3900146484375
2024-09-19,489.6099853515625
2024-09-20,491.17999267578125
2024-09-23,491.45001220703125
2024-09-24,493.04998779296875
2024-09-25,493.3699951171875
2024-09-26,498.32000732421875
2024-09-27,499.9599914550781
2024-09-30,504.55999755859375
2024-10-01,505.6199951171875
2024-10-02,505.75
2024-10-03,512.2999877929688
2024-10-04,511.79998779296875
2024-10-07,506.3599853515625
2024-10-08,512.3599853515625
2024-10-09,516.8800048828125
2024-10-10,512.8900146484375
2024-10-11,520.969970703125
2024-10-14,528.0499877929688
2024-10-15,527.1300048828125
2024-10-16,526.2999877929688
2024-10-17,529.6400146484375
2024-10-18,531.2899780273438
2024-10-21,532.1599731445312
2024-10-22,523.4099731445312
2024-10-23,524.0999755859375
2024-10-24,552.5499877929688
2024-10-25,547.3599853515625
2024-10-28,547.780029296875
2024-10-29,563.3599853515625
2024-10-30,562.52001953125
2024-10-31,552.5599975585938
2024-11-01,553.280029296875
2024-11-04,553.27001953125
2024-11-05,564.9400024414062
2024-11-06,564.25
2024-11-07,559.6699829101562
2024-11-08,568.2899780273438
2024-11-11,572.4400024414062
2024-11-12,567.2000122070312
2024-11-13,542.3599853515625
2024-11-14,491.32000732421875
2024-11-15,470.7900085449219
2024-11-18,448.0
2024-11-19,444.6199951171875
2024-11-20,454.8999938964844
2024-11-21,475.4800109863281
2024-11-22,468.7799987792969
2024-11-25,464.3500061035156
2024-11-26,472.4700012207031
2024-11-27,460.2900085449219
2024-11-29,459.8800048828125
2024-12-02,459.69000244140625
2024-12-03,453.8999938964844
2024-12-04,454.0
2024-12-05,456.1499938964844
2024-12-06,454.5199890136719
2024-12-09,437.19000244140625
2024-12-10,444.489990234375
2024-12-11,430.0
2024-12-12,414.0
2024-12-13,409.9100036621094
2024-12-16,416.95001220703125
2024-12-17,415.1400146484375
2024-12-18,403.3299865722656
2024-12-19,399.92999267578125
2024-12-20,402.7200012207031
2024-12-23,405.0199890136719
2024-12-24,404.8800048828125
2024-12-26,408.0299987792969
2024-12-27,406.1700134277344
2024-12-30,402.2300109863281
2024-12-31,404.05999755859375
2025-01-02,410.9599914550781
2025-01-03,420.1400146484375
2025-01-06,415.1099853515625
2025-01-07,413.95001220703125
2025-01-08,415.9100036621094
2025-01-10,431.239990234375
2025-01-13,446.05999755859375
2025-01-14,441.2200012207031
2025-01-15,446.7799987792969
2025-01-16,454.2799987792969
2025-01-17,452.3900146484375
2025-01-21,465.17999267578125
2025-01-22,465.1099853515625
2025-01-23,421.6400146484375
2025-01-24,406.4200134277344
2025-01-27,420.80999755859375
