Date,Close,Volume
2024-03-20,189.60153198242188,2746059
2024-03-21,189.79005432128906,2844595
2024-03-22,189.1774444580078,2085342
2024-03-25,187.05691528320312,1984176
2024-03-26,189.43191528320312,2728558
2024-03-27,193.32418823242188,2792292
2024-03-28,193.4373016357422,3636020
2024-04-01,190.38375854492188,2247815
2024-04-02,188.70620727539062,2645601
2024-04-03,186.57627868652344,2525112
2024-04-04,184.7667999267578,3454527
2024-04-05,185.803466796875,2238609
2024-04-08,186.37835693359375,2412514
2024-04-09,186.99095153808594,2065817
2024-04-10,184.38980102539062,2941209
2024-04-11,185.53961181640625,3061597
2024-04-12,184.8704376220703,3540316
2024-04-15,182.8724365234375,3216989
2024-04-16,179.74351501464844,2834580
2024-04-17,179.40428161621094,2452576
2024-04-18,180.08282470703125,2168096
2024-04-19,183.07980346679688,3611639
2024-04-22,184.3238067626953,2394506
2024-04-23,184.8704376220703,2587127
2024-04-24,183.5792999267578,3620036
2024-04-25,181.91116333007812,3939721
2024-04-26,182.31642150878906,3076772
2024-04-29,182.6179962158203,2623850
2024-04-30,181.6378631591797,3164382
2024-05-01,184.05996704101562,5143904
2024-05-02,182.49546813964844,3458574
2024-05-03,184.5406036376953,2277659
2024-05-06,183.77720642089844,2283932
2024-05-07,185.52073669433594,2076136
2024-05-08,186.6516876220703,1809158
2024-05-09,189.08319091796875,2723398
2024-05-10,191.24139404296875,2345441
2024-05-13,192.0707550048828,3546184
2024-05-14,191.51470947265625,2406140
2024-05-15,193.25820922851562,2707009
2024-05-16,195.7594451904297,2596738
2024-05-17,195.14364624023438,2293643
2024-05-20,193.86459350585938,2031724
2024-05-21,192.8129425048828,1763127
2024-05-22,192.1402587890625,2036782
2024-05-23,188.9095001220703,2646916
2024-05-24,189.19374084472656,2388133
2024-05-28,188.71054077148438,2445494
2024-05-29,186.71144104003906,2879397
2024-05-30,190.349609375,2339775
2024-05-31,191.56231689453125,3200397
2024-06-03,191.81813049316406,2472000
2024-06-04,196.33738708496094,3399999
2024-06-05,198.27015686035156,2754557
2024-06-06,197.49325561523438,3308949
2024-06-07,197.80592346191406,2593096
2024-06-10,199.6629180908203,2679087
2024-06-11,198.46913146972656,2331581
2024-06-12,197.54066467285156,2500023
2024-06-13,197.66383361816406,1982557
2024-06-14,197.56906127929688,2265317
2024-06-17,200.80931091308594,3136764
2024-06-18,201.68092346191406,2471899
2024-06-20,202.88418579101562,4089144
2024-06-21,203.78427124023438,8021480
2024-06-24,204.54222106933594,2967411
2024-06-25,203.1779022216797,3000290
2024-06-26,202.21151733398438,2199255
2024-06-27,203.111572265625,1935515
2024-06-28,202.3157501220703,4860841
2024-07-01,199.8618621826172,2173559
2024-07-02,202.0220489501953,1930557
2024-07-03,201.29251098632812,1099375
2024-07-05,201.08404541015625,1371108
2024-07-08,200.50613403320312,1859539
2024-07-09,199.53025817871094,1391442
2024-07-10,203.21580505371094,1812699
2024-07-11,203.55686950683594,2731593
2024-07-12,203.80320739746094,2113567
2024-07-15,204.3811492919922,1752404
2024-07-16,206.98660278320312,3013240
2024-07-17,208.63516235351562,2719453
2024-07-18,206.22865295410156,2190656
2024-07-19,203.32949829101562,2691632
2024-07-22,205.5654296875,2817078
2024-07-23,205.95388793945312,1812092
2024-07-24,202.41995239257812,3565709
2024-07-25,191.80865478515625,6761655
2024-07-26,192.08340454101562,7539321
2024-07-29,190.81385803222656,2907420
