ticker,company,award_id,award_date,transaction_amount
GD,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",692M1520F00411,2026-08-10,8650.0
HON,"HONEYWELL INTERNATIONAL, INC",47PC5426P0050,2026-08-10,7901.98
LHX,"L3HARRIS MARITIME POWER & ENERGY SOLUTIONS, INC",6973GH23F01684,2026-08-11,7196.52
CACI,CONSORCIO ECUATORIANO DE TELECOMUNICACIONES S.A. CONECEL,19EC7525F0174,2026-08-11,6083.51
CACI,COMUNICACION CELULAR S A COMCEL S A,19C01526P0071,2026-08-10,1903.26
GD,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",692M1519F00165,2026-08-11,700.0
GD,"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",692M1521F00008,2026-08-12,250.0
CR,"CRANE & CO., INC.",2031ZA26F00427,2026-08-11,10121664.0
CR,"CRANE & CO., INC.",2031ZA26F00426,2026-08-11,8898153.6
CR,"CRANE & CO., INC.",2031ZA26F00428,2026-08-11,945043.2
CR,"CRANE & CO., INC.",2031ZA26F00425,2026-08-11,85120.0
