scan_utc,scan_start,scan_end,watermark_source,downloaded_rows_total,downloaded_positive,downloaded_negative,recipient_universe_tickers,recipient_queries,recipient_aliases,matched_public_company_transactions,ticker_day_events,md14_passes,md11_passes,intersection_passes,new_buy_tickers,active_buy_tickers,market_cap_missing,award_watch_status,award_watch_error,award_watch_queries,award_watch_queries_attempted,award_watch_queries_failed,award_watch_rows,new_award_watch_alerts,active_award_watch_alerts,status
2026-08-19T03:11:21.485921+00:00,2026-08-17,2026-08-19,acquisition_state_or_live_history,0,0,0,32,92,46,0,0,0,0,0,0,0,0,PARTIAL,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",179,184,5,1,1,1,NO_MATCHED_PUBLIC_COMPANY_TRANSACTIONS
2026-08-19T15:10:35.624215+00:00,2026-08-17,2026-08-19,acquisition_state_or_live_history,40,41,0,32,92,46,40,13,4,7,3,3,3,0,PARTIAL,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",179,184,5,59,19,20,OK_BUY_FRAMEWORK_WATCH_PARTIAL
2026-08-20T15:14:52.304135+00:00,2026-08-18,2026-08-20,acquisition_state_or_live_history,45,45,0,32,92,46,45,15,5,8,4,4,4,0,PARTIAL,"5 of 184 award-watch base queries failed. First failures: SPR/contracts/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / contracts / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/action_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / action_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response')) | SPR/idvs/last_modified_date: USAspending award-watch failed after retries for SPR / 'SPIRIT AEROSYSTEMS INC' / idvs / last_modified_date / page 1: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",179,184,5,90,20,20,OK_BUY_FRAMEWORK_WATCH_PARTIAL
