ticker,award_date,peak_pct,MTS_signal_score,stage2_v2_pred_peak,stage2_v2_rank_low_to_high,log_market_cap_preaward,award_to_market_cap,award_to_adv60
TXT,2025-08-12,12.046927398418616,2.6846573740769664,12.16291,1,23.348849416287607,1.9390199372328585e-05,0.0021908340959310387
BA,2025-08-12,2.0506445380442884,2.7077599298902646,12.20597,2,25.864118950345745,3.3565203363345974e-05,0.003391871395780175
GD,2025-08-12,13.157202168191183,2.7049438205889813,12.773451,3,25.145058130755864,1.3734100156109357e-06,0.00033709846725959867
AVAV,2025-11-18,39.83269915719567,3.7711694900454433,13.223586,4,23.373953674892235,0.0001819499753774627,0.007425265610206948
PLTR,2025-09-29,15.833608391361407,2.240457768513929,13.9137125,5,26.76896204730867,2.2489196264706047e-05,0.0008819254428427617
PLTR,2025-08-29,32.20597524066597,2.57694770254896,14.202374,6,26.641605436516233,2.2189714700885666e-05,0.0007305932772296462
PLTR,2025-09-25,15.66547472281683,2.440300173783024,15.567956,7,26.77765306759231,7.018731034228366e-05,0.0027806312880014755
PLTR,2025-09-11,26.05256261037812,2.250345815169115,17.23017,8,26.703578379202476,3.99267459289633e-06,0.00014326352343410406
PSN,2025-08-13,9.089801563965327,2.2214908063566265,17.510778,9,22.86856395669852,0.00021093077800062645,0.020810121492936196
GE,2025-08-27,20.10801318465532,2.2288417101807148,18.0165,10,26.389793290123052,4.1518307543768265e-06,0.0007544836529090412
WWD,2026-01-12,23.78208523446093,2.388188195676812,18.807434,11,23.6826078420013,6.250000659726054e-06,0.0007546198040657965
KTOS,2026-01-29,0.0,2.3011866198896547,19.02346,12,23.668929448113488,3.942537306138642e-05,0.002587698282124659
AVAV,2026-01-26,2.279708458179264,3.0283643760940726,20.963545,13,23.455464548447114,0.00010787464829838353,0.004539721555750423
PSN,2025-08-12,11.598548345863202,2.715849603823961,23.176006,14,22.84887374341531,0.0002901675088757067,0.02777059094222272
KTOS,2025-11-21,89.06566730498753,2.309937434925927,27.589636,15,23.153775049940442,3.855698325321821e-06,0.0001239553507185826
CACI,2025-08-12,29.491011980977213,2.7386618980133703,31.062954,16,23.077201745999655,0.0002534346647451475,0.02110744206220533
RKLB,2025-09-18,104.11191697511164,4.382342344184892,35.42982,17,23.87038051902756,0.0002466819381993044,0.005710450728631005
MRCY,2025-08-27,23.66065374496007,3.577697997594421,45.510082,18,22.122648647255247,0.00026515620544259404,0.025629982448868847
HII,2025-08-15,34.39937833888178,2.238317618555334,48.905277,19,23.05744625069826,0.00010249968557076892,0.008912470382743528
KTOS,2025-09-16,71.2115308882564,2.8922445066138733,54.75045,20,23.217412584759995,0.0005193314628256936,0.024912197236300303
SPIR,2025-09-24,20.29109438044159,2.367330644938374,104.003265,21,19.736874230691033,0.009275431334709006,0.6140536315836829
SPIR,2025-08-15,54.22613304312043,3.1177668207874265,132.67932,22,19.582169134271755,0.004398102417144593,0.2101773567242939
SATL,2025-11-18,372.0588241739256,2.8550897955957857,179.5959,23,19.053543507227925,0.00017969674970120568,0.003070689212176923
