family,block,run,sn,auc20,auc50,prior_award_days_total,prior_transaction_count_total,days_since_last_award,prior_abs_award_mean,prior_abs_award_median,prior_abs_award_max,prior_signed_award_mean,current_to_prior_abs_mean,current_to_prior_abs_median,current_award_abs_percentile,prior_response_count_60d,prior_response_mean_60d,prior_response_median_60d,prior_max_gain_mean_60d,prior_hit_rate_10pct_within_60d,prior_hit_rate_20pct_within_60d,prior_response_count_20d,prior_response_mean_20d,prior_response_median_20d,prior_max_gain_mean_20d,prior_hit_rate_10pct_within_20d,prior_hit_rate_20pct_within_20d,prior_award_days_30d,prior_transactions_30d,prior_abs_dollars_30d,prior_signed_dollars_30d,prior_positive_dollars_30d,prior_negative_dollars_30d,award_frequency_acceleration_30d,award_dollar_acceleration_30d,pre_return_5d,pre_return_20d,pre_return_60d,pre_return_120d,relative_strength_ita_5d,relative_strength_ita_20d,relative_strength_ita_60d,relative_strength_ita_120d,relative_strength_spy_5d,relative_strength_spy_20d,relative_strength_spy_60d,relative_strength_spy_120d,same_day_award_count,transaction_amount_sum,transaction_amount_abs_sum,current_agency_count,current_award_type_count
prior_response_20d,1,3,-4.550742182810867,0.49532689181867434,0.5312771314464317,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
prior_response_20d,1,4,-10.46987926452841,0.5295189504373178,0.5436924813335648,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
prior_response_20d,1,5,-3.7230709486436186,0.5741537449366598,0.645055565202292,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
prior_response_20d,1,6,-12.31998820764324,0.435431125674037,0.4114212536898767,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
prior_response_20d,1,7,-7.428771363164861,0.4062766067235997,0.5683278346935232,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
prior_response_20d,1,8,-6.606173770803815,0.4889058025232849,0.5099843722868553,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
award_30d,1,1,-4.07934670952539,0.6195012771227327,0.649678763674249,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
award_30d,1,2,-4.411510239561032,0.6478850073531309,0.6882488279215141,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,
award_30d,1,3,-5.307831106504526,0.7052587786062593,0.6964533773224518,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,
award_30d,1,4,-7.9344735043930745,0.6579117108284528,0.702509116166001,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,
