ticker,award_date,award_abs,preaward_close,shares_known_at_award,market_cap_before,sec_cik,revenue_concept,ltm_revenue_before,ltm_revenue_method,ltm_revenue_source,award_to_market_cap,log10_award_to_market_cap,log10_market_cap_before,award_to_ltm_revenue
ACN,2025-08-19,1069277.58,244.09994506835938,622852992.0,152038381132.86328,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),7.032945050010628e-06,-5.152862775814291,11.18195323669529,1.6162603890137517e-05
ACN,2025-08-25,446163.18,253.98622131347656,622852992.0,158196077871.87305,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),2.8203175831031583e-06,-5.549701985005665,11.199195711906802,6.743953940102368e-06
ACN,2025-08-27,1704503.97,250.26295471191406,622852992.0,155877030129.07617,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),1.0934927157571333e-05,-4.961184105646023,11.19278212273753,2.576433192985945e-05
ACN,2025-09-02,35164804.77,254.7210693359375,622852992.0,158653780161.32812,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),0.00022164492225928964,-3.6543422136542074,11.200450424269064,0.0005315315882443999
ACN,2025-09-03,78000.0,250.99783325195312,622852992.0,156334751426.4961,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),4.989293761513623e-07,-6.30196092475425,11.19405552744473,1.1790045232508535e-06
ACN,2025-09-05,70000.0,247.83303833007812,625832000.0,155101846044.18945,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),4.513163562221985e-07,-6.345518926864685,11.190616966878942,1.058080982404612e-06
ACN,2025-09-08,2369986.14,249.8024444580078,625832000.0,156334363420.04395,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),1.5159726167382976e-05,-4.819308643365483,11.19405444957005,3.5823389475664494e-05
ACN,2025-09-11,5452824.529999999,238.2014923095703,622852992.0,148364512183.88086,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),3.675288955381626e-05,-4.434708510513262,11.171330032979313,8.242185622260523e-05
ACN,2025-09-15,960454.73,233.7237548828125,622852992.0,145575540030.23438,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),6.597638104591777e-06,-5.180611510174319,11.16308840985144,1.4517698346765091e-05
ACN,2025-09-16,360000.0,233.06729125976562,622852992.0,145166659698.48047,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),2.4799082705887204e-06,-5.60556438301004,11.161866883777327,5.441559338080862e-06
ACN,2025-09-18,892830.53,236.3692626953125,622852697.0,147223232757.67688,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),6.064467633784137e-06,-5.217207317445002,11.167976349826853,1.3495528632903292e-05
ACN,2025-09-19,2803724.35,234.71337890625,622852697.0,146191861073.74072,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),1.9178388792696004e-05,-4.71718788141111,11.164923194857447,4.237953449485332e-05
ACN,2025-09-22,188377.58,234.86033630371094,622852697.0,146283393885.09338,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),1.2877577898416266e-06,-5.890165814326435,11.165195027742502,2.847410498705763e-06
ACN,2025-09-23,3351969.8,235.1444854736328,622852697.0,146460376961.9295,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),2.288652992386672e-05,-4.6404200504516995,11.165720147595966,5.066650712820844e-05
ACN,2025-09-25,1500147.81,234.25286865234375,622852697.0,145905031020.09906,1467373,Revenues,66157507000.0,ttm_from_filed_statements,10K(2024-10-10)+YTD(2025-06-20)-PY_YTD(2025-06-20),1.0281672945145724e-05,-4.987936214938694,11.164070267264233,2.267539812224182e-05
