top_fraction,threshold,A_signals,A_hit_ge7p5,A_hit_ge10,A_hit_ge15,A_hit_ge20,A_median_peak,A_mean_peak
0.2,1.309319042362406,158,0.8924050632911392,0.7974683544303798,0.620253164556962,0.44936708860759494,17.55776436957196,27.252950898208532
0.1,1.5230698763999637,79,0.8987341772151899,0.8227848101265823,0.6455696202531646,0.5189873417721519,21.684482180259312,36.17948218809396
0.05,1.8757843004962427,40,0.85,0.75,0.6,0.45,18.96711213674068,50.39321979075059
0.02,2.449000100247598,16,0.9375,0.875,0.6875,0.6875,56.088051015215825,98.20041735902933
0.01,3.2164827371147453,8,1.0,1.0,0.875,0.875,158.3706639417532,163.50114087360646
