ticker,award_date,company,peak_pct,peak_class,MD4,MTS_signal_score
ACN,2025-08-19,ACCENTURE FEDERAL SERVICES LLC,7.339369528064132,<10%,1.9319739946504049,1.1017705551775823
ACN,2025-08-25,ACCENTURE FEDERAL SERVICES LLC,7.268111068414762,<10%,2.0024417889980826,1.1524863765318993
ACN,2025-08-27,ACCENTURE FEDERAL SERVICES LLC,7.315646131764031,<10%,2.0176552294769587,1.1392083481062008
ACN,2025-09-02,ACCENTURE FEDERAL SERVICES LLC,10.01287403127884,10-20%,2.119236629151335,1.2475597847779705
ACN,2025-09-03,ACCENTURE FEDERAL SERVICES LLC,10.887276425651148,10-20%,2.1533938242625226,1.1632225736208035
ACN,2025-09-05,ACCENTURE FEDERAL SERVICES LLC,13.175139070162434,10-20%,2.419581656028261,1.203016529346461
ACN,2025-09-08,ACCENTURE FEDERAL SERVICES LLC,12.90058141359398,10-20%,2.7398505585136808,1.1490840892516634
ACN,2025-09-11,ACCENTURE FEDERAL SERVICES LLC,18.18144590667652,10-20%,2.7159606282629083,1.2498303846062613
ACN,2025-09-15,ACCENTURE FEDERAL SERVICES LLC,21.30156161677609,20-50%,2.7639765658906845,1.2386504618217309
ACN,2025-09-16,ACCENTURE FEDERAL SERVICES LLC,21.84451743206337,20-50%,2.7996891402166604,1.191127177678826
ACN,2025-09-18,ACCENTURE FEDERAL SERVICES LLC,20.450838684981896,20-50%,2.74866064748488,1.1024056800360147
ACN,2025-09-19,ACCENTURE FEDERAL SERVICES LLC,20.375469884725028,20-50%,2.733810054147815,1.072762014582724
ACN,2025-09-22,ACCENTURE FEDERAL SERVICES LLC,20.230007873239607,20-50%,2.722206033114784,1.0734871365924858
ACN,2025-09-23,ACCENTURE FEDERAL SERVICES LLC,22.522295660665947,20-50%,2.92091580900257,1.04624364542341
ACN,2025-09-25,ACCENTURE FEDERAL SERVICES LLC,24.071218418292297,20-50%,3.3791654595003577,1.0440471748032756
ACN,2025-09-30,ACCENTURE FEDERAL SERVICES LLC,17.00729453138756,10-20%,2.384400171022731,1.0329142618919762
ACN,2025-10-22,ACCENTURE FEDERAL SERVICES LLC,15.814405783931296,10-20%,4.144893297557816,0.8734539882305499
ACN,2025-10-28,ACCENTURE FEDERAL SERVICES LLC,13.88987376194899,10-20%,3.9875850071761705,1.4077584259102807
ACN,2025-10-31,ACCENTURE FEDERAL SERVICES LLC,15.369858354689692,10-20%,4.018577213310288,1.3182649079992852
ACN,2025-11-07,ACCENTURE FEDERAL SERVICES LLC,17.407236338374577,10-20%,3.8528168556543454,1.2351490214349963
ACN,2025-11-12,ACCENTURE FEDERAL SERVICES LLC,17.04051848151982,10-20%,3.647230104654603,1.2458150873572973
ACN,2025-11-18,ACCENTURE FEDERAL SERVICES LLC,20.22499928784962,20-50%,3.792273911649604,1.8911631323855174
ACN,2025-11-20,ACCENTURE FEDERAL SERVICES LLC,19.830570815207203,10-20%,3.825669108843589,1.117976286967463
ACN,2025-11-21,ACCENTURE FEDERAL SERVICES LLC,14.568204426009835,10-20%,3.0456768792630977,1.0322898238968217
ACN,2025-11-24,ACCENTURE FEDERAL SERVICES LLC,18.43854600006316,10-20%,3.691237274039342,0.9412794626069229
ACN,2025-11-25,ACCENTURE FEDERAL SERVICES LLC,15.772592119786877,10-20%,3.2468143446232545,0.8815094996790193
ACN,2025-12-10,ACCENTURE FEDERAL SERVICES LLC,5.995157439287224,<10%,2.2527383989527308,0.8781663367831777
ACN,2025-12-12,ACCENTURE FEDERAL SERVICES LLC,6.252777757706229,<10%,2.342861779819087,0.8442601746457216
ACN,2025-12-16,ACCENTURE FEDERAL SERVICES LLC,6.065289135555818,<10%,2.5535985995165937,0.8432393445158857
ACN,2025-12-23,ACCENTURE FEDERAL SERVICES LLC,6.562780778952049,<10%,2.899103926424248,0.8443162060392376
ACN,2025-12-29,ACCENTURE FEDERAL SERVICES LLC,6.33892157144087,<10%,2.9026770622845905,0.7793706336775599
ACN,2026-01-08,ACCENTURE FEDERAL SERVICES LLC,2.384489512087784,<10%,2.4450567241221264,0.6887869488160772
ACN,2026-01-13,ACCENTURE FEDERAL SERVICES LLC,4.241328197621463,<10%,3.1974634160178947,0.7700462791147386
ACN,2026-01-15,ACCENTURE FEDERAL SERVICES LLC,0.0,<10%,2.9344733418451208,0.8169264522296168
ACN,2026-01-20,ACCENTURE FEDERAL SERVICES LLC,4.539618371316823,<10%,3.527045111317401,0.5685194256225397
ACN,2026-01-23,ACCENTURE FEDERAL SERVICES LLC,0.0,<10%,3.323663993085582,0.5493267554537435
ACN,2026-01-29,ACCENTURE FEDERAL SERVICES LLC,2.1323064221850485,<10%,2.7380818338828656,0.5164225442956857
ACN,2026-01-30,ACCENTURE FEDERAL SERVICES LLC,1.194809116440232,<10%,3.061448061494393,0.49349057477479996
ACN,2026-02-03,ACCENTURE FEDERAL SERVICES LLC,0.1824031217456223,<10%,1.834225203232544,0.589915442630318
ACN,2026-02-05,ACCENTURE FEDERAL SERVICES LLC,3.116703934027898,<10%,1.9023493261930715,0.5897131538363966
ACN,2026-02-12,ACCENTURE FEDERAL SERVICES LLC,0.981754541096036,<10%,1.4911794249009758,0.6271625065597077
ACN,2026-02-17,ACCENTURE FEDERAL SERVICES LLC,1.6917577589181445,<10%,1.5760870176890032,0.6470546088091759
ACN,2026-02-20,ACCENTURE FEDERAL SERVICES LLC,0.0,<10%,1.901534860578132,0.7863895300395192
