ticker,award_date,company,sector_group,peak_pct,transaction_amount_abs_sum,log10_market_cap_before,prior_abs_award_max,prior_response_count_60d,prior_abs_award_median,pre_volatility_market_20d,prior_transactions_30d,prior_response_mean_20d,relative_strength_spy_60d,prior_abs_award_max_adj,prior_abs_award_median_adj,prior_response_count_60d_adj,log10_mcap_x_prior_abs_award_max_adj,relative_strength_spy_120d,prior_signed_award_mean
ACN,2025-08-19,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,7.339369528064132,13.882494754747606,11.18195323669529,17.05837847421271,0.0,15.849142453720232,2.0322580652593905,3.1780538303479458,,-28.78791905881173,-0.5968645647383601,0.01873572115851818,,-6.674111651544831,-36.13908675886539,8867141.426666668
ACN,2025-08-25,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,7.268111068414762,13.00844227985584,11.199195711906802,17.05837847421271,0.0,15.396749659898683,2.058109112062746,3.7612001156935624,,-28.215545447940805,-0.5968645647383601,-0.1777360053625454,,-6.684403074006962,-37.24956631330242,7761660.723
ACN,2025-08-27,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,7.315646131764031,14.348785286366931,11.19278212273753,17.05837847421271,0.0,15.478606223848143,2.0320543381334844,3.9512437185814275,,-27.24782732104152,-0.5968645647383601,-0.14218614430973453,,-6.6805750298990345,-37.61398469340037,8270161.792499999
ACN,2025-09-02,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,10.01287403127884,17.375556304319268,11.200450424269064,17.09417611580266,0.0,15.61774920333069,1.7360484041662745,4.343805421853684,,-26.64933138155078,-0.581317845934306,-0.08175710543167547,,-6.511021714130076,-36.93005122582306,8586747.517333332
ACN,2025-09-03,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,10.887276425651148,11.264476926102367,11.19405552744473,17.40790002172104,0.0,16.06530599389414,1.3951413814475238,4.406719247264253,,-27.352034520694435,-0.4450692803464493,0.11261436489256305,,-4.982130237758019,-36.73007813088457,10320123.20125
ACN,2025-09-05,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,13.175139070162434,11.156264806643742,11.190616966878942,17.40790002172104,0.0,16.391322950734246,1.2819016141175692,4.553876891600541,,-27.79888369641808,-0.4450692803464493,0.2542017429924526,,-4.9805998400815765,-34.92326676735609,10473543.066666666
ACN,2025-09-08,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,12.90058141359398,14.678395086936256,11.19405444957005,17.59301148797514,0.0,16.408942249013062,1.2440570742934236,4.6443908991413725,,-27.751569912235777,-0.36467638999464747,0.2618537075871039,,-4.082207366072726,-35.83623640134678,12222655.43631579
ACN,2025-09-11,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,18.18144590667652,15.511644478164358,11.171330032979313,17.625694629679643,0.0,16.415047522878066,1.3633932032540883,4.820281565605037,,-31.37857178714316,-0.35048228158161,0.2645051945348129,,-3.915353238259752,-35.04113557788543,13988039.111363636
ACN,2025-09-15,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,21.30156161677609,13.775163169550721,11.16308840985144,17.625694629679643,0.0,16.408942249013062,1.4490131883930413,4.795790545596741,,-32.92350086054798,-0.35048228158161,0.2618537075871039,,-3.9124646953819595,-37.25551810375738,13354777.726
ACN,2025-09-16,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,21.84451743206337,12.793862088206213,11.161866883777328,17.625694629679643,0.0,16.391322950734246,1.4291153766129625,4.836281906951478,2.2028835629630983,-27.66022740029037,-0.35048228158161,0.2542017429924526,,-3.9120365721364934,-37.60208428159601,13272359.425384616
ACN,2025-09-18,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,20.450838684981896,13.702153185845809,11.167976349826851,17.625694629679643,0.0,16.415047522878066,1.351092841135355,4.948759890378168,-0.5051457535977096,-29.08613148732302,-0.35048228158161,0.2645051945348129,,-3.9141778317367755,-38.71185038615727,14621518.98535714
ACN,2025-09-19,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,20.375469884725028,14.846459572981207,11.164923194857447,17.625694629679643,0.0,16.408942249013062,1.3532487535544169,4.962844630259907,-1.3039231328670935,-27.851007048031303,-0.35048228158161,0.2618537075871039,,-3.9131077550170765,-40.57915666773424,14353322.47413793
ACN,2025-09-22,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,20.230007873239607,12.146208940393201,11.165195027742502,17.625694629679643,0.0,16.415047522878066,1.2416964009325844,4.912654885736052,-2.5176859205332285,-27.824903310860616,-0.35048228158161,0.2645051945348129,,-3.9132030276268392,-42.214374768026346,14489383.538333332
ACN,2025-09-23,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,22.522295660665947,15.025059029328984,11.165720147595966,17.625694629679643,0.0,16.4211157484497,1.2729839078560323,4.997212273764115,-2.975363592939075,-28.048989669876743,-0.35048228158161,0.26714059161075543,,-3.9133870728311853,-43.05350484063749,14537583.948387096
ACN,2025-09-25,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,24.071218418292297,14.22107486781845,11.164070267264233,18.432709894344327,0.0,16.486060804345517,1.4247621188669428,5.135798437050262,-3.614555654381295,-29.603097151269708,0.0,0.29534587303019766,,0.0,-45.39895680199318,17961345.226969697
ACN,2025-09-30,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,17.00729453138756,15.946267402726967,11.19023219199746,18.432709894344327,0.0,16.5663205915653,1.7352845313184522,5.241747015059643,-4.531040986910165,-25.165536686465373,0.0,0.33020225805675807,,0.0,-46.43897111498059,19784949.042894736
ACN,2025-10-22,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,15.814405783931296,13.932450206958979,11.182455698801574,18.432709894344327,0.0,16.37338763648207,2.029157677126188,4.74493212836325,-2.7956262333309163,-16.084216143205754,0.0,0.24641253438348887,,0.0,-36.94788028599941,17280731.926382978
ACN,2025-10-28,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,13.88987376194899,7.249996556923266,11.1829062029585,18.432709894344327,0.0,16.158296305446832,1.7155883377984258,3.8501476017100584,-2.307697666874093,-11.255087857160472,0.0,0.1529995481358446,,0.0,-39.95654137152491,16359105.3612
ACN,2025-10-31,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,15.369858354689692,13.567485001125984,11.180265802224175,18.432709894344327,0.0,15.993103322814633,1.7753452314743208,3.367295829986474,-1.673966770743328,-4.710474178759494,0.0,0.08125713983609018,,0.0,-39.627152531602185,15576645.385849057
ACN,2025-11-07,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,17.407236338374577,12.575864288222716,11.166259922207452,18.432709894344327,0.0,15.913914212655142,1.7274264059971622,3.4657359027997265,-1.1611090514435551,-4.4853516370185975,0.0,0.046865742211512185,,0.0,-36.11210028743916,14770113.798571426
ACN,2025-11-12,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,17.04051848151982,11.951186847493476,11.168449808632044,18.432709894344327,0.0,15.900085623036588,1.708002917816582,3.5263605246161616,-1.212408581278294,-10.760013598736885,0.0,0.04086006130594466,,0.0,-39.5775868114347,14378337.546724137
ACN,2025-11-18,ACCENTURE FEDERAL SERVICES LLC,TECH_SERVICES,20.22499928784962,2.822568654544802,11.168138338660231,18.432709894344327,0.0,15.70819937094309,1.3664436048095,3.58351893845611,-1.2690477178951636,-9.294121888917903,0.0,-0.042475090555996076,,0.0,-36.59663671762779,13484680.395
