top_fraction,threshold,A_signals,A_hit_ge7p5,A_hit_ge10,A_hit_ge15,A_hit_ge20,A_median_peak
0.2,1.2593967227153755,158,0.879746835443038,0.810126582278481,0.6139240506329114,0.44936708860759494,17.994103648884042
0.1,1.5515027883187198,79,0.8734177215189873,0.7974683544303798,0.6329113924050633,0.4810126582278481,18.9873878045822
0.05,1.8617724166334635,40,0.875,0.825,0.625,0.475,18.96711213674068
0.02,2.4678184767511184,16,0.9375,0.875,0.75,0.6875,56.088051015215825
0.01,2.9042007680304027,8,1.0,1.0,0.875,0.875,158.3706639417532
